epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5867,1.10299,2.34801,1.32621,0.37889,0.30449,0.28378,0.16987,1.43309,1.90321,1.55896,0.000365117,0.000365117,0.000365117
2,59.5385,1.26007,1.89579,1.40781,0.16902,0.3359,0.15585,0.08076,1.97031,4.47144,2.01978,0.000720889,0.000720889,0.000720889
3,77.2135,1.40998,2.16228,1.51329,0.47918,0.20695,0.13542,0.0681,2.00798,3.05072,2.19865,0.00106199,0.00106199,0.00106199
4,93.8583,1.43145,2.20509,1.53714,0.16885,0.31991,0.12196,0.0561,1.80234,2.79982,1.98593,0.00104501,0.00104501,0.00104501
5,110.356,1.3783,2.09987,1.49854,0.21204,0.22446,0.15977,0.09536,1.57732,2.88402,1.73222,0.00102301,0.00102301,0.00102301
6,127.514,1.34311,1.99287,1.46998,0.58414,0.26075,0.32936,0.22123,1.61973,2.21738,1.73768,0.00100101,0.00100101,0.00100101
7,144.58,1.30205,1.92037,1.45612,0.56172,0.29838,0.31855,0.19716,1.56526,2.16031,1.78222,0.000979013,0.000979013,0.000979013
8,161.096,1.27882,1.8639,1.44266,0.48804,0.33615,0.30348,0.19745,1.6128,2.34469,1.71463,0.000957015,0.000957015,0.000957015
9,177.65,1.24334,1.82709,1.41019,0.70744,0.25977,0.30493,0.2119,1.44961,2.11529,1.62387,0.000935018,0.000935018,0.000935018
10,195.347,1.22245,1.80851,1.40043,0.3765,0.43116,0.3911,0.26743,1.33155,1.91869,1.49118,0.00091302,0.00091302,0.00091302
11,212.027,1.15847,1.68856,1.33851,0.53304,0.4445,0.44982,0.31891,1.33453,1.69405,1.48745,0.000891022,0.000891022,0.000891022
12,228.837,1.18207,1.68545,1.3703,0.4297,0.5206,0.45557,0.31428,1.32038,1.87235,1.49974,0.000869024,0.000869024,0.000869024
13,246.079,1.14919,1.57637,1.34596,0.51173,0.5316,0.46968,0.35044,1.25262,1.61039,1.38964,0.000847026,0.000847026,0.000847026
14,263.1,1.12631,1.55434,1.34144,0.52707,0.48458,0.48521,0.36002,1.23998,1.51856,1.40224,0.000825029,0.000825029,0.000825029
15,280.03,1.11763,1.56873,1.32177,0.37943,0.54622,0.46445,0.34908,1.23991,1.69781,1.40896,0.000803031,0.000803031,0.000803031
16,296.503,1.07154,1.4804,1.29285,0.48893,0.4967,0.48433,0.36367,1.25427,1.59179,1.46161,0.000781033,0.000781033,0.000781033
17,314.292,1.07957,1.43804,1.28925,0.58116,0.48496,0.52384,0.39112,1.27629,1.49339,1.43223,0.000759035,0.000759035,0.000759035
18,331.086,1.10474,1.44082,1.30103,0.61846,0.49067,0.53647,0.39651,1.24002,1.49688,1.41719,0.000737037,0.000737037,0.000737037
19,347.812,1.04193,1.36743,1.25181,0.53672,0.60058,0.55262,0.42075,1.1667,1.43845,1.32882,0.00071504,0.00071504,0.00071504
20,366.046,1.01222,1.33053,1.25021,0.61276,0.53607,0.57182,0.41798,1.21064,1.37292,1.36836,0.000693042,0.000693042,0.000693042
21,382.75,0.99973,1.33907,1.2601,0.61304,0.4795,0.54824,0.41053,1.17406,1.36078,1.32882,0.000671044,0.000671044,0.000671044
22,399.396,0.96898,1.28036,1.23272,0.63216,0.59709,0.62787,0.47527,1.11267,1.19162,1.29367,0.000649046,0.000649046,0.000649046
23,416.996,0.96,1.25822,1.22351,0.66753,0.56208,0.63097,0.48657,1.04749,1.17371,1.25554,0.000627048,0.000627048,0.000627048
24,433.994,0.93114,1.23052,1.22982,0.63803,0.59734,0.61467,0.46552,1.03294,1.15773,1.25507,0.000605051,0.000605051,0.000605051
25,450.582,0.95054,1.2282,1.22279,0.66059,0.59931,0.64025,0.50229,1.02738,1.09397,1.24473,0.000583053,0.000583053,0.000583053
26,467.622,0.93879,1.16899,1.21808,0.5458,0.58389,0.59637,0.46073,1.06388,1.25936,1.25687,0.000561055,0.000561055,0.000561055
27,484.689,0.91232,1.14849,1.20435,0.68485,0.54463,0.614,0.46715,1.05526,1.14058,1.26513,0.000539057,0.000539057,0.000539057
28,501.191,0.90566,1.09981,1.196,0.61486,0.64506,0.66106,0.52045,1.01994,1.10186,1.24329,0.000517059,0.000517059,0.000517059
29,517.991,0.88706,1.09847,1.177,0.69165,0.67835,0.69942,0.54961,0.99395,1.05741,1.19162,0.000495062,0.000495062,0.000495062
